,timestamp,open,high,low,close,volume,likes,retweets,emotion,emoji
2018-01-03 00:00:00,1514937600,14670.96,15015.24,14574.03,14848.91,714.12022128,3.579185520361991,0.6968325791855203,1.4751131221719458,3.1538461538461537
2018-01-03 01:00:00,1514941200,14800.21,14884.62,14700.68,14750.01,259.3765237,3.3073170731707315,1.2439024390243902,1.2878048780487805,3.3560975609756096
2018-01-03 02:00:00,1514944800,14756.19,15045.09,14700.0,14956.6,582.51617052,1.0246305418719213,0.31527093596059114,1.2857142857142858,3.5467980295566504
2018-01-03 03:00:00,1514948400,14960.74,15227.0,14839.76,14861.15,514.38204128,1.3933649289099526,0.6635071090047393,1.2511848341232228,3.170616113744076
2018-01-03 04:00:00,1514952000,14860.13,15150.0,14851.03,15072.85,190.22743502,3.0728155339805827,1.5533980582524272,1.3640776699029127,3.4805825242718447
2018-01-03 05:00:00,1514955600,15072.85,15145.0,14979.01,15025.18,265.78096754,1.0434782608695652,0.4945652173913043,1.516304347826087,3.3043478260869565
2018-01-03 06:00:00,1514959200,15025.42,15385.0,15004.36,15370.0,557.28064643,1.5611111111111111,0.6944444444444444,1.3833333333333333,3.4055555555555554
2018-01-03 07:00:00,1514962800,15370.0,15400.0,15209.95,15241.27,221.84007531,1.8663101604278074,1.0106951871657754,1.4010695187165776,3.411764705882353
2018-01-03 08:00:00,1514966400,15286.52,15500.0,15070.97,15075.19,718.5425017,2.032608695652174,1.4184782608695652,1.3423913043478262,3.6793478260869565
2018-01-03 09:00:00,1514970000,15075.04,15126.73,14767.47,14812.6,588.75892892,5.960199004975125,1.8656716417910448,1.3781094527363185,3.373134328358209
2018-01-03 10:00:00,1514973600,14839.96,14936.95,14546.28,14735.27,619.67995879,1.154228855721393,0.7014925373134329,1.427860696517413,3.5671641791044775
2018-01-03 11:00:00,1514977200,14730.0,14914.05,14723.5,14914.05,397.45341225,1.0039525691699605,0.9486166007905138,1.3241106719367588,3.4822134387351777
2018-01-03 12:00:00,1514980800,14907.72,14951.34,14582.74,14601.08,389.83633588,0.8745098039215686,0.5882352941176471,1.3490196078431373,3.4941176470588236
2018-01-03 13:00:00,1514984400,14600.01,14988.72,14600.0,14972.99,555.46569528,1.1476014760147601,0.4612546125461255,1.3062730627306274,3.5387453874538743
2018-01-03 14:00:00,1514988000,14972.99,15101.41,14843.1,14847.83,744.97832293,1.517605633802817,0.676056338028169,1.295774647887324,3.390845070422535
2018-01-03 15:00:00,1514991600,14888.0,15133.59,14859.39,15133.59,398.2237772,3.205797101449275,1.608695652173913,1.1333333333333333,3.402898550724638
2018-01-03 16:00:00,1514995200,15126.29,15241.45,15080.21,15111.0,448.73135546,1.749185667752443,0.6384364820846905,1.3550488599348534,3.482084690553746
2018-01-03 17:00:00,1514998800,15111.0,15194.61,14873.67,14921.06,648.66172295,2.791946308724832,6.057046979865772,1.348993288590604,3.5436241610738257
2018-01-03 18:00:00,1515002400,14921.05,14985.67,14780.0,14834.3,562.11786862,1.7816455696202531,0.9272151898734177,1.2120253164556962,3.518987341772152
2018-01-03 19:00:00,1515006000,14822.12,14941.68,14751.9,14761.42,480.27230785,1.4241379310344828,0.4482758620689655,1.2862068965517242,3.3482758620689657
2018-01-03 20:00:00,1515009600,14761.42,15035.0,14732.43,14999.88,542.31565486,1.1708185053380782,0.2704626334519573,1.3772241992882561,3.302491103202847
